Date,nps,text,label,nps_scaled,Coincide
2023-04-17 20:23:04,9,PRECIO,5,4,False
2023-04-17 20:21:04,9,ES LA PRIMERA VEZ Y SI ME SIENTO CON ALGO DE INSERTIDUMBRE SI LO ESTOY HACIUENDO BIEN,3,4,False
2023-04-17 20:17:07,9,Es muy rapido,3,4,False
2023-04-17 20:17:04,10,Bueno,4,5,False
2023-04-17 20:10:06,9,Prcticidad,3,4,False
2023-04-17 20:07:47,10,Es muy fácil de manejar la página web y la app,4,5,False
2023-04-17 19:50:05,10,Por la facilidad de la navegación,4,5,False
2023-04-17 19:49:52,10,MUY RAPIDO PARA HACER CHECK IN,5,5,True
2023-04-17 19:47:04,10,.,3,5,False
2023-04-17 19:45:05,10,TODO ES EXCELENTE,5,5,True
2023-04-17 19:42:54,10,FUE SENCILLO,3,5,False
2023-04-17 19:40:06,9,"facilidad de compra en linea, vuelos en tiempo",4,4,True
2023-04-17 19:39:07,10,MUY FACIL DE USAR,5,5,True
2023-04-17 19:37:25,10,muy rapido,2,5,False
2023-04-17 19:35:56,10,Excelente,5,5,True
2023-04-17 19:35:09,9,PARA VOLAR SIN CONTRATIEMPOS,5,4,False
2023-04-17 19:29:48,10,RAPIDEZ,5,5,True
2023-04-17 19:29:22,10,.,3,5,False
2023-04-17 19:28:40,10,por el buen servicio,5,5,True
2023-04-17 19:26:45,10,facil y practico,4,5,False
2023-04-17 19:23:36,10,.,3,5,False
2023-04-17 19:22:23,10,ES MUY SENCILLO,2,5,False
2023-04-17 19:17:48,9,Útil,4,4,True
2023-04-17 19:16:10,9,MUY FACIL DE USAR,5,4,False
2023-04-17 19:13:06,10,todo muy practico,5,5,True
2023-04-17 19:12:04,10,si,3,5,False
2023-04-17 19:10:26,10,POR QUE CONOZCAN LA AEROLINEA,5,5,True
2023-04-17 19:02:04,10,PORQUE ME GUSTA SU SERVICIO,4,5,False
2023-04-17 18:56:22,10,Por sencillez y rapidez,5,5,True
2023-04-17 18:49:05,10,:D,3,5,False
2023-04-17 18:40:27,10,es muy facil,5,5,True
2023-04-17 18:34:56,10,ágil,3,5,False
2023-04-17 18:32:37,10,rapidos,5,5,True
2023-04-17 18:31:32,10,POR LA RAPIDEZ,4,5,False
2023-04-17 18:29:49,10,super facil,5,5,True
2023-04-17 18:21:13,9,ES MUY FACIL,5,4,False
2023-04-17 18:19:10,10,si,3,5,False
2023-04-17 18:15:05,10,rapida y eficiente la página,5,5,True
2023-04-17 18:04:22,10,Muy eficiente,5,5,True
2023-04-17 18:03:36,10,Es muy fácil y rápido.,5,5,True
2023-04-17 18:02:08,10,excelente,5,5,True
2023-04-17 17:54:49,10,"Es muy sencillo y rápido todo, gracias",5,5,True
2023-04-17 17:52:04,10,Facil de usar,4,5,False
2023-04-17 17:45:05,10,conveniente y rapido,5,5,True
2023-04-17 17:43:25,10,por la facilidad,4,5,False
2023-04-17 17:39:30,10,servicio en webb,4,5,False
2023-04-17 17:38:16,10,POR LA FACILIDAD DEL TRAMITE,4,5,False
2023-04-17 17:29:16,10,Amigable,4,5,False
2023-04-17 17:26:21,9,"FACILIDAD AL HACERLO, ME EVITO TRAMITES EN EL AEROPUERTO",3,4,False
2023-04-17 17:26:03,10,La flexibilidad.,5,5,True
2023-04-17 17:25:54,10,buen servicio,5,5,True
2023-04-17 17:17:57,10,ES CON LOS QUE YO VUELO,5,5,True
2023-04-17 17:16:04,10,todo excelente,5,5,True
2023-04-17 17:13:03,10,Facil acceso,4,5,False
2023-04-17 17:11:22,10,Sencillez,5,5,True
2023-04-17 17:08:28,9,EL SERVICIO ES RÁPIDO,4,4,True
2023-04-17 16:57:50,10,MUY FACIL,5,5,True
2023-04-17 16:56:04,9,RAPIDEZ Y PRACTICIDAD,5,4,False
2023-04-17 16:53:04,10,por la rapidez,4,5,False
2023-04-17 16:48:43,9,muy buen servicio,5,4,False
2023-04-17 16:45:24,10,Buena y fácil de usar,5,5,True
2023-04-17 16:40:49,10,Muy facil,5,5,True
2023-04-17 16:39:49,10,Todo el proceso fue rápido y sencillo.,5,5,True
2023-04-17 16:38:29,9,POR SU RAPIDEZ,5,4,False
2023-04-17 16:35:05,10,TODO MUY BIEN,5,5,True
2023-04-17 16:27:37,10,excellent servicio,5,5,True
2023-04-17 16:26:51,10,La página web es muy práctica,4,5,False
2023-04-17 16:22:04,9,muy birn,5,4,False
2023-04-17 16:16:12,10,claro,4,5,False
2023-04-17 16:16:04,10,AGIL Y FACIL PROCESO,4,5,False
2023-04-17 16:15:05,10,"Es fácil, rápido y muy claro.",5,5,True
2023-04-17 16:13:45,10,Es rápido y fácil,5,5,True
2023-04-17 16:13:04,10,facil,4,5,False
2023-04-17 16:12:04,9,es facil,4,4,True
